zip_code_prefix;city;state;geom;geog;latitude_avg;longitude_avg
81750;curitiba;PR;;;-25.51882425644875;-49.2323511633389
13175;sumare;SP;;;-22.811418577663336;-47.24177202124911
7170;guarulhos;SP;;;-23.4319484074384;-46.44869453427779
93415;novo hamburgo;RS;;;-29.696975127696938;-51.12095566913109
65075;sao luis;MA;;;-2.5085430466673557;-44.303019926805405
88104;sao jose;SC;;;-27.62150704604186;-48.638515641286425
7176;guarulhos;SP;;;-23.40949927477061;-46.39656594240867
35960;santa barbara;MG;;;-19.964212954976457;-43.41725182108993
5727;sao paulo;SP;;;-23.625590333054426;-46.73905080544173
7053;guarulhos;SP;;;-23.47459008907121;-46.56096944910216
14026;ribeirao preto;SP;;;-21.216210904524203;-47.81828973980032
30320;belo horizonte;MG;;;-19.95954610294896;-43.93549305303234
38300;ituiutaba;MG;;;-18.98771181521178;-49.471572121790736
18740;taquarituba;SP;;;-23.546936026090403;-49.24424537825799
83085;sao jose dos pinhais;PR;;;-25.549237938657765;-49.15384787705575
5351;sao paulo;SP;;;-23.55810175353457;-46.75729204524208
39406;montes claros;MG;;;-16.75096677091682;-43.844661119075774
14860;barrinha;SP;;;-21.182360068257925;-48.15822670677218
21310;rio de janeiro;RJ;;;-22.881031646375625;-43.33742185657273
23970;parati;RJ;;;-23.226942512091888;-44.72617217705374
79804;dourados;MS;;;-22.22713301868629;-54.81435120522413
5017;sao paulo;SP;;;-23.537309857060443;-46.6787664476888
75388;trindade;GO;;;-16.645965277753795;-49.51516413471679
85808;cascavel;PR;;;-24.95346147936716;-53.51858485131236
60140;fortaleza;CE;;;-3.7416782330731686;-38.49477936129211
72270;brasilia;DF;;;-15.807534439535994;-48.14563393118026
2075;sao paulo;SP;;;-23.502028505135893;-46.60034967291817
96015;pelotas;RS;;;-31.767831461278803;-52.34106915266308
90010;porto alegre;RS;;;-30.03215040714993;-51.2325516998384
22440;rio de janeiro;RJ;;;-22.987106811270102;-43.22749700083673
13323;salto;SP;;;-23.225911871187957;-47.26603912401082
30190;belo horizonte;MG;;;-19.921126734952896;-43.94119674937962
13212;jundiai;SP;;;-23.151712385018914;-46.97128780668247
29307;cachoeiro de itapemirim;ES;;;-20.845442726895108;-41.10530226786084
12280;cacapava;SP;;;-23.098284219545235;-45.70330750943507
60336;fortaleza;CE;;;-3.716146424923537;-38.57604972093022
11310;sao vicente;SP;;;-23.96707671547605;-46.3914737492793
38408;uberlandia;MG;;;-18.925348871775626;-48.24236513543774
37720;botelhos;MG;;;-21.647835407465777;-46.39422365513176
24431;sao goncalo;RJ;;;-22.827206075806263;-43.08632597763122
5890;sao paulo;SP;;;-23.66734335045476;-46.78750322877922
3733;sao paulo;SP;;;-23.50914521065843;-46.53066228518663
83709;araucaria;PR;;;-25.61138949693849;-49.36969938375004
11347;sao vicente;SP;;;-23.990370050601317;-46.47212050990094
26272;nova iguacu;RJ;;;-22.758865547663003;-43.505321229286125
5415;sao paulo;SP;;;-23.563965740492826;-46.68179815445209
59655;areia branca;RN;;;-4.960484566241286;-37.13433881403624
4548;sao paulo;SP;;;-23.59899552233257;-46.68358067332223
28010;campos dos goytacazes;RJ;;;-21.76030683669503;-41.32653140262073
13573;sao carlos;SP;;;-22.064437791015006;-47.89639950819431
2175;sao paulo;SP;;;-23.516718741284578;-46.57445726194335
37500;itajuba;MG;;;-22.421567268526;-45.45439654895746
90670;porto alegre;RS;;;-30.04623721344161;-51.18559141220381
9890;sao bernardo do campo;SP;;;-23.69676708964741;-46.571862503895126
13321;salto;SP;;;-23.190243653067117;-47.291570633360266
44380;cruz das almas;BA;;;-12.655868277332464;-39.10044839031422
27700;vassouras;RJ;;;-22.418541912748985;-43.67993483814997
44033;feira de santana;BA;;;-12.219344161809689;-38.97268164876794
4537;sao paulo;SP;;;-23.594499367187996;-46.67772056203472
71540;brasilia;DF;;;-15.707155214290086;-47.87945685714087
13569;sao carlos;SP;;;-22.01401696225976;-47.87496317485142
5565;sao paulo;SP;;;-23.59644437191985;-46.79121164599798
3636;sao paulo;SP;;;-23.523158336112846;-46.53311089869581
24120;niteroi;RJ;;;-22.88248286955392;-43.0886607547753
65058;sao luis;MA;;;-2.572329289004968;-44.19951421099502
2983;sao paulo;SP;;;-23.45038103635526;-46.71833685039535
4105;sao paulo;SP;;;-23.5744288642738;-46.63225518665242
89260;jaragua do sul;SC;;;-26.50713904579032;-49.13313967470719
62016;sobral;CE;;;-3.6973432569295928;-40.36871414414944
35500;divinopolis;MG;;;-20.146615317146374;-44.892591683425806
8743;mogi das cruzes;SP;;;-23.554576919483395;-46.2109027377433
71928;brasilia;DF;;;-15.848767641268472;-48.03324800952432
4938;sao paulo;SP;;;-23.688754983351576;-46.761048796006655
2209;sao paulo;SP;;;-23.485064826913263;-46.58236126674555
25850;paraiba do sul;RJ;;;-22.15235907980679;-43.2855197300483
53437;paulista;PE;;;-7.930176473795966;-34.826440694351234
4710;sao paulo;SP;;;-23.625255719401;-46.69674106647811
6382;carapicuiba;SP;;;-23.54811119219724;-46.841166759880586
2632;sao paulo;SP;;;-23.46069115903973;-46.64833329433323
95765;bom principio;RS;;;-29.459638556413456;-51.36831448711259
2631;sao paulo;SP;;;-23.458643298084144;-46.648254625310194
36780;astolfo dutra;MG;;;-21.31561828851855;-42.867365350916536
80050;curitiba;PR;;;-25.439106561486454;-49.23689875714125
30664;belo horizonte;MG;;;-20.00937843130018;-44.0342336888741
86990;marialva;PR;;;-23.489938018233765;-51.788818993683066
8490;sao paulo;SP;;;-23.56613158673322;-46.40933117430316
15015;sao jose do rio preto;SP;;;-20.81842802837701;-49.39248776604019
28909;cabo frio;RJ;;;-22.899295443931194;-42.04634624285419
32140;contagem;MG;;;-19.893454436332657;-44.03400171616229
38410;uberlandia;MG;;;-18.952782820705167;-48.22771100805008
86640;cafeara;PR;;;-22.78572718459205;-51.71305504441468
91340;porto alegre;RS;;;-30.028941461278805;-51.18007165696225
14600;sao joaquim da barra;SP;;;-20.581177442701478;-47.858931261277824
85854;foz do iguacu;PR;;;-25.560872999999997;-54.56496375
30421;belo horizonte;MG;;;-19.939688821541896;-43.97533764669048
9862;sao bernardo do campo;SP;;;-23.705450443973447;-46.58385800553772
8686;suzano;SP;;;-23.534755720078792;-46.28786721968291
7243;guarulhos;SP;;;-23.434701180163835;-46.40890359008191
89120;timbo;SC;;;-26.83365489702238;-49.26170944102369
88348;camboriu;SC;;;-26.99799029848867;-48.65605531454657
95340;nova bassano;RS;;;-28.72908960540212;-51.70430074576316
96215;rio grande;RS;;;-32.09689312405125;-52.17768712456428
71665;brasilia;DF;;;-15.833267999999997;-47.8307655
12929;braganca paulista;SP;;;-22.946012455450425;-46.52383551318598
78600;barra do garcas;MT;;;-15.87636437716699;-52.26320605049736
4960;sao paulo;SP;;;-23.726413791563274;-46.787813649316185
6835;embu;SP;;;-23.678719438253747;-46.85362107799065
9784;sao bernardo do campo;SP;;;-23.71887609338662;-46.52464263358638
73020;brasilia;DF;;;-15.656754584921352;-47.808582687413306
88840;urussanga;SC;;;-28.526461585008278;-49.32174954817925
37589;silvianopolis;MG;;;-22.030606560486653;-45.83142509878336
5874;sao paulo;SP;;;-23.69891158312654;-46.78192879600666
39505;gameleiras;MG;;;-15.082991161112488;-43.11832683236032
66050;belem;PA;;;-1.4390974529689196;-48.48846842933828
37701;pocos de caldas;MG;;;-21.79104335195045;-46.56244368105504
32070;contagem;MG;;;-19.88852473277913;-44.08136349469984
11065;santos;SP;;;-23.9678895545329;-46.34412123980033
12970;piracaia;SP;;;-23.05588544094924;-46.35910657270963
22251;rio de janeiro;RJ;;;-22.945175455450418;-43.18674295048741
11035;santos;SP;;;-23.976779752697844;-46.302225428386
78557;sinop;MT;;;-11.877564849866127;-55.50507778149744
11440;guaruja;SP;;;-23.98788982791853;-46.24777699362336
6401;barueri;SP;;;-23.50924262107987;-46.88666937892011
5590;sao paulo;SP;;;-23.57467050043269;-46.73328224562872
95770;feliz;RS;;;-29.458655226411476;-51.30608476190055
4679;sao paulo;SP;;;-23.67501017124474;-46.679538766172286
30330;belo horizonte;MG;;;-19.941373330284467;-43.93759243297362
12270;jambeiro;SP;;;-23.25658323003718;-45.69174320645941
15050;sao jose do rio preto;SP;;;-20.782078847545822;-49.37199920061633
35160;ipatinga;MG;;;-19.50523742384614;-42.57176378313765
17602;tupa;SP;;;-21.93532101918528;-50.49756182976886
4427;sao paulo;SP;;;-23.681528172081464;-46.65219770413756
70750;brasilia;DF;;;-15.754632909678948;-47.89531165702924
89031;blumenau;SC;;;-26.882803470063276;-49.10761309562108
15275;moncoes;SP;;;-20.851907595580045;-50.08938803282958
22290;rio de janeiro;RJ;;;-22.954859287264107;-43.18091709714924
3563;sao paulo;SP;;;-23.549693280599;-46.49264250874256
88330;balneario camboriu;SC;;;-26.999696999999948;-48.63513949999995
20030;rio de janeiro;RJ;;;-22.908639793496512;-43.17401201249347
4723;sao paulo;SP;;;-23.64524193228113;-46.70359922952856
65430;vargem grande;MA;;;-3.5513577098597806;-43.92322865148397
79130;rio brilhante;MS;;;-21.784207571148777;-54.52942519947917
36855;eugenopolis;MG;;;-21.09981002282405;-42.17627449376193
66055;belem;PA;;;-1.4490947274224149;-48.484601999451726
15054;sao jose do rio preto;SP;;;-20.780995319700494;-49.35424790246387
13142;paulinia;SP;;;-22.77928239439665;-47.17683629156326
3951;sao paulo;SP;;;-23.58353292305826;-46.48957476496762
13214;jundiai;SP;;;-23.148804478137823;-46.92948882832884
3127;sao paulo;SP;;;-23.57744523619365;-46.58928864723873
9030;santo andre;SP;;;-23.670374418102146;-46.525675033179645
12240;sao jose dos campos;SP;;;-23.23009940009024;-45.90094499999999
13045;campinas;SP;;;-22.92841942957608;-47.03706900304376
30830;belo horizonte;MG;;;-19.90179566778229;-44.00424794061967
86806;apucarana;PR;;;-23.52961677345554;-51.43667212317244
52070;recife;PE;;;-8.02746534332621;-34.91569324340702
6290;osasco;SP;;;-23.5186892031566;-46.77405856691081
13270;valinhos;SP;;;-22.976619071841363;-47.01071509319301
9040;santo andre;SP;;;-23.730677044241958;-46.47813835714726
69049;manaus;AM;;;-3.0535376647238763;-60.02618247071386
95595;cidreira;RS;;;-30.17105570679884;-50.201594169231335
20561;rio de janeiro;RJ;;;-22.923126168734587;-43.26075217874656
97700;santiago;RS;;;-29.189988823565876;-54.8719981328078
8340;sao paulo;SP;;;-23.618298375246354;-46.45852502641048
97340;sao sepe;RS;;;-30.16723705939483;-53.56730096663081
78580;alta floresta;MT;;;-9.860566767287835;-56.090677116367935
7191;guarulhos;SP;;;-23.4574125322318;-46.5108025671688
54430;jaboatao dos guararapes;PE;;;-8.193270817916602;-34.933218138281305
5451;sao paulo;SP;;;-23.54341626908212;-46.70487563352314
29395;ibatiba;ES;;;-20.23522317591383;-41.51097291118037
13188;hortolandia;SP;;;-22.894244007858305;-47.23358323658409
2376;sao paulo;SP;;;-23.458526276992316;-46.62665931349181
6719;cotia;SP;;;-23.624444263700656;-46.94883555820426
27915;macae;RJ;;;-22.38954004459297;-41.77709194438561
89868;saudades;SC;;;-26.925936814319545;-53.00068897425011
22220;rio de janeiro;RJ;;;-22.93311463835192;-43.17537798542904
68908;macapa;AP;;;0.0490969345087335;-51.05735669770298
18160;salto de pirapora;SP;;;-23.664502918276984;-47.581761427942936
6764;taboao da serra;SP;;;-23.612294462020333;-46.76578686529368
75570;bom jesus;GO;;;-18.22274634229437;-49.73606451572712
95124;caxias do sul;RS;;;-29.0366325;-51.09108074999999
38415;uberlandia;MG;;;-18.90058003632284;-48.34411500838209
18900;santa cruz do rio pardo;SP;;;-22.883610865880744;-49.61785424118465
9950;diadema;SP;;;-23.684721443793656;-46.58409388868383
45320;santa ines;BA;;;-13.295945239037316;-39.82063913962193
23075;rio de janeiro;RJ;;;-22.88236910768082;-43.56762626325808
48700;serrinha;BA;;;-11.65863269984178;-39.002802502871695
18112;votorantim;SP;;;-23.5270462641308;-47.43206506260343
13185;hortolandia;SP;;;-22.904356478404523;-47.1755015158131
27580;itatiaia;RJ;;;-22.498292896770568;-44.60024523254695
25245;duque de caxias;RJ;;;-22.57142450320851;-43.31181786549752
28375;varre-sai;RJ;;;-20.927197304654296;-41.86929257442269
21615;rio de janeiro;RJ;;;-22.867797310029363;-43.405730754227065
95095;caxias do sul;RS;;;-29.19829438602458;-51.20720195133252
20250;rio de janeiro;RJ;;;-22.92048954687608;-43.208592127894754
29101;vila velha;ES;;;-20.33161263550869;-40.27958609200332
13053;campinas;SP;;;-23.042523405216706;-47.13296873550117
23860;mangaratiba;RJ;;;-22.929835186822583;-43.90887910153451
12942;atibaia;SP;;;-23.120273860118864;-46.56362790244673
5450;sao paulo;SP;;;-23.548879351376293;-46.70528501610016
41706;salvador;BA;;;-12.995208;-38.44161675000001
57046;maceio;AL;;;-9.613217239287312;-35.719633652535485
91350;porto alegre;RS;;;-30.01895817707312;-51.16296204564608
22620;rio de janeiro;RJ;;;-23.01333894087947;-43.30183519386577
16204;birigui;SP;;;-21.30207124709913;-50.34447517254305
14401;franca;SP;;;-20.530671079410943;-47.39851931627846
25675;petropolis;RJ;;;-22.490942742182664;-43.19898857430632
24220;niteroi;RJ;;;-22.90581654870452;-43.106988856771984
90240;porto alegre;RS;;;-30.013169904996133;-51.19853892141162
13520;sao pedro;SP;;;-22.5567717701264;-47.91123662245614
84200;jaguariaiva;PR;;;-24.256441627501136;-49.70995118249992
21515;rio de janeiro;RJ;;;-22.83259079789656;-43.35462276164891
7847;franco da rocha;SP;;;-23.312572747259598;-46.72483470496001
3609;sao paulo;SP;;;-23.51525472300768;-46.53878362822437
72220;brasilia;DF;;;-15.838528302842304;-48.110470859171926
41480;salvador;BA;;;-12.92147146220729;-38.3700553140468
12420;pindamonhangaba;SP;;;-22.945064470526344;-45.46371952947366
84500;irati;PR;;;-25.46071165130973;-50.63828989673304
18380;ribeira;SP;;;-24.658715239978044;-49.0088613700761
4455;sao paulo;SP;;;-23.678985771856432;-46.678985470858095
36200;barbacena;MG;;;-21.232267920465752;-43.77002363272546
55700;limoeiro;PE;;;-7.875546293839904;-35.45206000178267
76974;espigao do oeste;RO;;;-11.52167206485777;-61.01306348804001
26155;belford roxo;RJ;;;-22.717835733663176;-43.404118170334094
12215;sao jose dos campos;SP;;;-23.18093790397594;-45.86936250721335
70770;brasilia;DF;;;-15.732234000000002;-47.89837349999999
35171;coronel fabriciano;MG;;;-19.530799658011595;-42.57080612305797
9960;diadema;SP;;;-23.695431233971945;-46.59243093588782
72331;brasilia;DF;;;-15.874030775594518;-48.11435605830503
72225;brasilia;DF;;;-15.800587776316478;-48.12119762231989
11740;itanhaem;SP;;;-24.149651009642906;-46.7480979001278
74825;goiania;GO;;;-16.7174939681896;-49.24672673825662
14709;bebedouro;SP;;;-20.928623885001464;-48.49299639722605
13465;americana;SP;;;-22.74703919816495;-47.34322030252755
41308;salvador;BA;;;-12.93596607780133;-38.49576841564689
36500;uba;MG;;;-21.12574332854103;-42.92260482854105
86700;arapongas;PR;;;-23.41507740422774;-51.42944823345752
13287;vinhedo;SP;;;-23.048035628679557;-46.99742100929329
88304;itajai;SC;;;-26.89938;-48.67972874999998
79823;dourados;MS;;;-22.21703390643334;-54.83238552192974
17033;bauru;SP;;;-22.337614143709917;-49.02889557185494
14850;pradopolis;SP;;;-21.36757068180344;-48.06270442872158
5171;sao paulo;SP;;;-23.47846082653355;-46.74780027254892
78325;aripuana;MT;;;-10.183051185305056;-59.44159302299549
12900;braganca paulista;SP;;;-22.95669060421837;-46.54087248750651
4374;sao paulo;SP;;;-23.65075406105376;-46.65502005773554
45840;guaratinga;BA;;;-16.583875436328864;-39.7855610979958
4190;sao paulo;SP;;;-23.65162088926077;-46.60351488689484
79904;ponta pora;MS;;;-22.52284115993474;-55.711830616350696
16011;aracatuba;SP;;;-21.21094795939615;-50.42699213300364
27265;volta redonda;RJ;;;-22.52985026533555;-44.1241147559005
87025;maringa;PR;;;-23.377396999935016;-51.93100618003307
7197;guarulhos;SP;;;-23.46307610751172;-46.51553610303015
1527;sao paulo;SP;;;-23.563144561198005;-46.62658014155458
4845;sao paulo;SP;;;-23.74699524118531;-46.69558713405275
14802;araraquara;SP;;;-21.760806096824155;-48.17228519205648
35367;matipo;MG;;;-20.28244511155565;-42.33920230324944
24230;niteroi;RJ;;;-22.911270381614717;-43.10515133611283
36205;barbacena;MG;;;-21.216647501342187;-43.75240420003465
91130;porto alegre;RS;;;-30.01125892229781;-51.131081597841714
95500;santo antonio da patrulha;RS;;;-29.8278405;-50.5234755
1230;sao paulo;SP;;;-23.532734734664448;-46.654324449073776
91760;porto alegre;RS;;;-30.140645406601674;-51.22478800124076
27351;barra mansa;RJ;;;-22.52807299793412;-44.20304134266612
60181;fortaleza;CE;;;-3.728184810433396;-38.47678545198797
39100;diamantina;MG;;;-18.2339841777334;-43.59364621093363
71505;brasilia;DF;;;-15.73240143802808;-47.86277439289611
87050;maringa;PR;;;-23.437975269077903;-51.91385959802448
41720;salvador;BA;;;-12.973746698857436;-38.43905887177561
4003;sao paulo;SP;;;-23.572538936724527;-46.64620103274857
27913;macae;RJ;;;-22.380522364834302;-41.77243199036321
5792;sao paulo;SP;;;-23.64005026311385;-46.77842218067981
18120;mairinque;SP;;;-23.532772472991248;-47.16937115902071
31615;belo horizonte;MG;;;-19.803895418806704;-43.962298019158574
85790;capitao leonidas marques;PR;;;-25.47603;-53.61668325
20735;rio de janeiro;RJ;;;-22.89834913791924;-43.28603771175494
37950;sao sebastiao do paraiso;MG;;;-20.916423501961283;-46.993701179798975
22240;rio de janeiro;RJ;;;-22.93125598447676;-43.17881321481337
25645;petropolis;RJ;;;-22.549033360244323;-43.210094724044055
2802;sao paulo;SP;;;-23.488791114931203;-46.69673727457101
4744;sao paulo;SP;;;-23.657560763806348;-46.707845720785976
3704;sao paulo;SP;;;-23.507806499999997;-46.55110950000001
13416;piracicaba;SP;;;-22.715110444918835;-47.645625352213
26115;belford roxo;RJ;;;-22.748620638829685;-43.3925832985371
73035;brasilia;DF;;;-15.639619383972343;-47.804546933208144
74580;goiania;GO;;;-16.645944494113735;-49.29569488008731
97590;rosario do sul;RS;;;-30.243655111246017;-54.92233782337923
23820;itaguai;RJ;;;-22.869565234536577;-43.7919701082573
3579;sao paulo;SP;;;-23.56079380099833;-46.49873888718328
11420;guaruja;SP;;;-24.014614278217262;-46.274569798459225
35774;paraopeba;MG;;;-19.2748128851055;-44.39843543569106
9271;santo andre;SP;;;-23.639620380229736;-46.50604149140166
13041;campinas;SP;;;-22.917053295025724;-47.061757854838746
1321;sao paulo;SP;;;-23.55896103857696;-46.64089188579832
20240;rio de janeiro;RJ;;;-22.917041999999995;-43.18825317816965
31555;belo horizonte;MG;;;-19.84506185844542;-43.98466346448144
85012;guarapuava;PR;;;-25.397213164319837;-51.46133223062508
39885;crisolita;MG;;;-17.277521340163478;-41.0889441139695
27175;pirai;RJ;;;-22.609469999999945;-43.91234449999996
57062;maceio;AL;;;-9.608373953921216;-35.76131246142304
29903;linhares;ES;;;-19.38662465049386;-40.05577521121764
17120;agudos;SP;;;-22.45244284794321;-48.98977139671903
2435;sao paulo;SP;;;-23.4823915320561;-46.64281243352188
4116;sao paulo;SP;;;-23.590958301142567;-46.629899428674456
21010;rio de janeiro;RJ;;;-22.81177724161504;-43.29909368630079
25545;sao joao de meriti;RJ;;;-22.781746615709963;-43.38653594434864
3105;sao paulo;SP;;;-23.55386629447746;-46.62260224132955
21616;rio de janeiro;RJ;;;-22.849190234260405;-43.39661390132156
88370;navegantes;SC;;;-26.88690680838387;-48.66214683641898
13641;pirassununga;SP;;;-21.92307090817436;-47.36244374160741
9686;sao bernardo do campo;SP;;;-23.667205588510274;-46.59270730426241
89694;faxinal dos guedes;SC;;;-26.849580675078037;-52.256987290082144
7251;guarulhos;SP;;;-23.435049027756925;-46.40011952262103
71908;brasilia;DF;;;-15.790681174014695;-47.85453457868314
72300;brasilia;DF;;;;
88805;criciuma;SC;;;-28.70080388355569;-49.40656387717695
29830;nova venecia;ES;;;-18.716793326809164;-40.39796908496742
99010;passo fundo;RS;;;-28.246010663976687;-52.38356841481704
2230;sao paulo;SP;;;-23.48274827338563;-46.56490113044606
38400;uberlandia;MG;;;-18.91595976602804;-48.278974174995646
6386;carapicuiba;SP;;;-23.53274732599706;-46.847029365764215
20780;rio de janeiro;RJ;;;-22.88650136386977;-43.26883386620703
38950;ibia;MG;;;-19.598096999999942;-46.61303299999997
74986;aparecida de goiania;GO;;;-16.814676261037956;-49.23631853303319
1310;sao paulo;SP;;;-23.556926913670807;-46.6615417904381
11045;santos;SP;;;-23.96112504302036;-46.32316061267247
36900;manhuacu;MG;;;-20.265441566422545;-42.044386189900685
13178;sumare;SP;;;-22.800362898695823;-47.21833340077328
68371;altamira;PA;;;-3.2056389790715394;-52.208863809676046
74423;goiania;GO;;;-16.68822438741148;-49.31497955985662
22231;rio de janeiro;RJ;;;-22.93276755785112;-43.17834623036526
88110;sao jose;SC;;;-27.576619500608015;-48.61693708192752
3718;sao paulo;SP;;;-23.49824519318669;-46.52937216616037
28495;aperibe;RJ;;;-21.62189489518194;-42.10129524956613
11320;sao vicente;SP;;;-23.97242519856393;-46.371264531333615
16010;aracatuba;SP;;;-21.21285039439666;-50.44858920843672
78015;cuiaba;MT;;;-15.610560168573553;-56.09593096965
92320;canoas;RS;;;-29.927407825667792;-51.191704757208896
31330;belo horizonte;MG;;;-19.87964344047544;-44.003708868313176
5093;sao paulo;SP;;;-23.51569610012673;-46.71896759639081
30441;belo horizonte;MG;;;-19.935201059120523;-43.9567957307693
11547;cubatao;SP;;;;
87030;maringa;PR;;;-23.41848622413047;-51.92625934548862
3923;sao paulo;SP;;;-23.590043924475463;-46.51003716796691
13232;campo limpo paulista;SP;;;-23.20706431353269;-46.760735214610754
86181;cambe;PR;;;-23.28193402859364;-51.28510693242536
8576;itaquaquecetuba;SP;;;-23.49479676809363;-46.35731299743924
9551;sao caetano do sul;SP;;;-23.6198894454671;-46.554964747302144
12243;sao jose dos campos;SP;;;-23.201781118789317;-45.89567007799064
5894;sao paulo;SP;;;-23.651715093143583;-46.787411725868246
3574;sao paulo;SP;;;-23.5541361268394;-46.51105076686476
39404;montes claros;MG;;;-16.682043505353082;-43.8286815604386
40323;salvador;BA;;;-12.960072125454408;-38.49810826519133
30240;belo horizonte;MG;;;-19.92416706994057;-43.91647950666509
24240;niteroi;RJ;;;-22.896755634456788;-43.09981143435861
7020;guarulhos;SP;;;-23.46957611878932;-46.53809007799066
5596;sao paulo;SP;;;-23.581213700530878;-46.74534960006341
35935;sao goncalo do rio abaixo;MG;;;-19.825384710991383;-43.35890238504866
86600;rolandia;PR;;;-23.31259824896755;-51.36894941889966
37410;tres coracoes;MG;;;-21.69216794221008;-45.25804903964345
96570;cacapava do sul;RS;;;-30.530757607861464;-53.49864844306403
1424;sao paulo;SP;;;-23.56816235942637;-46.66117892867444
1537;sao paulo;SP;;;-23.569022776299825;-46.62199066665712
14050;ribeirao preto;SP;;;-21.17121748495008;-47.81941847157649
24722;sao goncalo;RJ;;;-22.80367432447838;-42.97982888792682
36680;sao joao nepomuceno;MG;;;-21.53684106547488;-43.0121739022556
6722;cotia;SP;;;-23.65030577512848;-46.95766240287004
92035;canoas;RS;;;-29.916624328065343;-51.12650249999999
22451;rio de janeiro;RJ;;;-22.97823619758802;-43.2372780819727
74160;goiania;GO;;;-16.696446874943895;-49.26452440440847
13610;leme;SP;;;-22.188010549332656;-47.38890953944135
13600;araras;SP;;;-22.35906286886278;-47.3807194132873
13201;jundiai;SP;;;-23.192759454717024;-46.87833704570238
55525;cortes;PE;;;-8.475008743669271;-35.544236173217755
35164;ipatinga;MG;;;-19.4609515387212;-42.525487901061766
3183;sao paulo;SP;;;-23.558837165416367;-46.594341639188656
14051;ribeirao preto;SP;;;-21.17251937246812;-47.83483973397196
88351;brusque;SC;;;-27.082320621703506;-48.93028666250217
60055;fortaleza;CE;;;-3.749334515248173;-38.52361938377261
95780;montenegro;RS;;;-29.67034898140752;-51.46146829327502
76630;itaberai;GO;;;-16.01692125674349;-49.79044712431722
12413;pindamonhangaba;SP;;;-22.942719134058045;-45.42119605197068
72620;brasilia;DF;;;-15.908585997034344;-48.08004599851718
14270;santa rosa de viterbo;SP;;;-21.492062747451047;-47.38142757064218
73780;agua fria de goias;GO;;;-14.980008322372788;-47.77846316061065
99150;marau;RS;;;-28.4595254944111;-52.20408391320524
35790;curvelo;MG;;;-18.744756956577486;-44.45041862816433
24060;niteroi;RJ;;;-22.88468203514288;-43.1104961936404
36080;juiz de fora;MG;;;-21.745859857608703;-43.36325941895093
13843;mogi-guacu;SP;;;-22.3970091627978;-46.94545202732525
24350;niteroi;RJ;;;-22.944019808500155;-43.06302670148316
8150;sao paulo;SP;;;-23.525377438801996;-46.40950968151651
2559;sao paulo;SP;;;-23.49381273105776;-46.67432020760002
3755;sao paulo;SP;;;-23.50999545221116;-46.50243381083857
1227;sao paulo;SP;;;-23.537290117980763;-46.65443089812821
6286;osasco;SP;;;-23.507298266732708;-46.77267139333711
4001;sao paulo;SP;;;-23.57230126005544;-46.65200020136758
12503;guaratingueta;SP;;;-22.827161457837764;-45.18862301683485
9895;sao bernardo do campo;SP;;;-23.70734747994644;-46.56687389064575
83209;paranagua;PR;;;-25.547635663426608;-48.52779305562683
16403;lins;SP;;;-21.697048432542783;-49.746439248588445
4401;sao paulo;SP;;;-23.670706610046736;-46.66108764570951
